N,S_rec
100,1.0694349550499537
101,1.058846490148469
102,0.76252046705879054
103,0.84950702519413801
104,1.0283028413941863
105,0.92591770999995994
106,0.82546437353770014
107,1.1811940879906031
108,0.63013844152775052
109,0.98113298628436122
110,1.0605966496363178
111,1.138628535270221
112,0.43402392656248122
113,1.2045124192034877
114,1.1086646264473205
115,0.84540312652170256
116,0.6704921348275572
117,0.66476143282048406
118,1.3182557227118074
119,0.57189035029409291
120,0.56712459737497546
121,0.72313407929748938
122,0.79689638975406388
123,0.63233404585363118
124,0.62723457774190835
125,1.3222104898799428
126,1.0802373283332866
127,0.76552251614169916
128,0.75954187148434214
129,0.75365394999996739
130,0.97221359549995794
131,1.3358660090839117
132,0.29461018045453271
133,1.0964814986841631
134,1.0882988009327887
135,0.79217404077774351
136,1.0008081130146626
137,0.63868046419705266
138,1.1272041686956034
139,1.1890382103236896
140,1.1111012519999519
141,1.2411237389361165
142,0.8900547001055953
143,1.0877914355244285
144,1.0802373283332866
145,0.6704921348275572
146,1.5315693627739063
147,0.85978073071424852
148,0.98535161706076818
149,0.84824004976506397
150,0.90739935579996074
151,1.0301601011920084
152,1.0873441528617951
153,0.82606383931368975
154,0.94696129431814085
155,0.62723457774190835
156,0.93482076490380571
157,1.3004130895222367
158,0.98452009670881817
159,0.67260060066034826
160,0.78992354634371583
161,0.6038593760869304
162,0.84018458870366735
163,0.77538507616561063
164,0.71137580158533508
165,0.82490850527269158
166,0.64423792472888779
167,1.2225440422454561
168,0.98378756687495744
169,0.86291147529582066
170,0.85783552544113936
171,1.1370919245613543
172,0.84786069374996332
173,0.84295976488435659
174,1.0057382022413358
175,0.66666075119997116
176,0.88383054136359813
177,0.54927321779658641
178,0.98313734376400241
179,1.0862721737429698
180,0.86418986266662928
181,1.1816960829281257
182,1.1217849178845669
183,1.0094020936884809
184,0.73972773570648974
185,0.73572920740537358
186,0.94085186661286252
187,0.93582057320851566
188,1.085983271569102
189,1.028797455555511
190,0.86987532228943605
191,0.81441976586383911
192,1.063358620078079
193,0.85635394422276088
194,1.1025102629380966
195,1.0469992566922624
196,0.99205468928567137
197,0.69091321507611224
198,0.88383054136359813
199,0.78167927276378528
200,1.409709713474939
201,1.3543273967163593
202,0.86632894648511104
203,1.1494150882758123
204,0.66720540867644172
205,1.1382012825365361
206,0.80231219046113034
207,0.98630364760865298
208,1.1217849178845669
209,0.6512435567942302
210,0.92591770999995994
211,0.55291768464452584
212,0.73374610981128901
213,1.049808107816856
214,1.1811940879906031
215,1.1304809249999511
216,1.035227439652733
217,1.1200617459676935
218,0.57976040098621345
219,0.84347298239722378
220,1.1489797037726776
221,0.96781443895923415
222,1.0948351300675202
223,1.0899255554932264
224,0.65103588984372183
225,0.4753044244666461
226,0.81734771303093809
227,0.68526068405283379
228,0.81017799624996495
229,0.84909484323140431
230,1.0990240644782133
231,1.0942663845454072
232,1.0057382022413358
233,0.87624401311155007
234,0.87249938057688533
235,1.0342697824467638
236,0.94749630069911155
237,0.94349842601261741
238,0.89868483617643171
239,0.73221107610875493
240,0.72916019662496845
241,0.76647544873440667
242,0.80348231033054375
243,0.76016700882712761
244,1.1156549456556894
245,0.95237250171424451
246,0.75089667945118703
247,1.2201871036639148
248,1.1368626721572089
249,0.89802862234935874
250,0.6611052449399714
251,1.0070738439441795
252,1.2731368512499449
253,1.2296772749406583
254,1.1865599000196337
255,0.95315058382348818
256,0.91145024578121057
257,1.0970503606808864
258,0.82901934499996413
259,1.0510417248648194
260,0.86003510371150125
261,0.931239076149385
262,0.66793300454195584
263,1.1089888922052752
264,0.69969917857951518
265,0.99055724824524016
266,0.98683334881574678
267,0.72824988426963142
268,1.0520221742350291
269,0.90354423373602039
270,1.0442294173888437
271,0.89687601060881729
272,1.0008081130146626
273,0.81908105115381072
274,0.63868046419705266
275,0.7070644330908785
276,1.1272041686956034
277,0.77215520220213266
278,0.76937766550356384
279,1.1150836937633926
280,0.90276976724996094
281,1.003352109234832
282,0.86189148537230314
283,0.92755360701409415
284,1.4377806694013462
285,0.81870618568417511
286,0.61188268248249101
287,0.98237610695117701
288,0.91145024578121057
289,1.2447025271106728
290,0.90516438201720222
291,1.0022820572164515
292,0.99884958441776501
293,0.99544054146753373
294,0.92591770999995994
295,0.79095343362708443
296,0.91966150925671697
297,0.98203393484844236
298,1.1418616054529707
299,0.84540312652170256
300,1.0694349550499537
301,1.0012831049999567
302,0.57946505692050473
303,1.1230190047029217
304,1.055363442483507
305,0.92439981211471411
306,1.048465642205837
307,0.76003668703579774
308,0.88383054136359813
309,1.0697495872815071
310,0.75268149329029002
311,0.87530484482311326
312,0.9659814570672659
313,0.96289525432903182
314,1.2384886566878445
315,1.1111012519999519
316,0.83068883159806533
317,1.165429546656101
318,0.97832814641505201
319,0.97526128702190138
320,1.0025952703593316
321,1.0903330042990182
322,0.99636797054343516
323,0.90298476362225196
324,0.84018458870366735
325,0.74785661192304457
326,0.74556257323616406
327,0.68381996013758509
328,0.91886041038105781
329,0.82741582595741101
330,1.1784407218181308
331,0.88116035845917638
332,0.79065563489454411
333,0.93425931099095057
334,0.98967851038917874
335,0.75455383531340019
336,0.75230813937496745
337,1.1251136565133044
338,0.86291147529582066
339,0.94640261508845463
340,0.97221359549995794
341,0.85531987873896593
342,1.1655192226753882
343,1.2471544665305583
344,0.65002653187497188
345,0.61996229278258187
346,0.78676244722539949
347,0.81251280315558444
348,0.8381151685344465
349,1.0028564308882088
350,0.66666075119997116
351,0.66476143282048406
352,0.63525320160508615
353,0.79870238723792579
354,0.79644616580505029
355,1.3967012217041649
356,0.95582797310389123
357,1.1437807005881858
358,1.113428978086544
359,0.92075939406681253
360,1.1882610611666153
361,0.80793373587254122
362,0.75198841640880725
363,1.0713097471073917
364,1.0683665884614922
365,1.1719835123835109
366,1.2484710106147001
367,0.84770667727516769
368,0.89824082192930897
369,0.84311206113817491
370,1.0510417248648194
371,0.9433878554716573
372,1.0453909629031806
373,0.65161769135385921
374,0.9098255572860569
375,0.88147365991996186
376,1.0084130378855947
377,0.74785661192304457
378,0.92591770999995994
379,0.82086636031658718
380,1.1513055736183712
381,0.99517927098420891
382,1.1198271780627788
383,0.88844584445165869
384,0.88613218339839916
385,1.0605966496363178
386,1.1082227513471023
387,1.0551155299999544
388,1.0523961600772741
389,0.94972022182515171
390,1.2962847939999439
391,0.96972711571607058
392,0.99205468928567137
393,1.0390068959541535
394,0.81429057491113228
395,1.0091330991265386
396,0.76107629950754283
397,1.1264943423928984
398,1.3435112500627559
399,0.80408643236838627
400,0.82638155617496425
401,0.9940338507605555
402,0.94319229414175024
403,1.2785935623200439
404,0.96258771831679004
405,1.1522531502221724
406,0.69443828249996996
407,0.83605591750610634
408,1.0961231713970114
409,0.83196762451096645
410,0.82993843518289092
411,1.1117771043430176
412,0.96749411202665717
413,0.80036954593216876
414,0.65753576507243532
415,1.1010611804457355
416,1.1217849178845669
417,1.1190947861870019
418,0.93034793827747171
419,0.74250202997610153
420,0.76388211074996695
421,0.92371838052252536
422,1.0136824218482974
423,1.0342697824467638
424,0.8713235054009057
425,1.1437807005881858
426,0.95852044626756417
427,0.93350719942618912
428,1.1584788170677069
429,0.92915518451044931
430,0.99482321399995696
431,1.0376293594663124
432,0.85518788493051856
433,0.71849503593530379
434,0.98565433645157026
435,0.80459056179306864
436,0.95883450932335301
437,0.77866077442788393
438,0.86566963982872967
439,0.81940553607057958
440,1.0826924131704077
441,0.88182639047615233
442,0.81384396003390144
443,0.85589910213314582
444,0.91966150925671697
445,0.76466237848311299
446,0.87194044439458111
447,1.1527364778858562
448,0.95485263843745869
449,0.82280883360798222
450,0.92900410236662648
451,1.0778421236141441
452,0.98942091577429348
453,1.22331512016551
454,0.94223344057264646
455,0.98289726138457286
456,0.93810083776311731
457,1.1062386644638471
458,0.91277695647375964
459,0.95315058382348818
460,0.95107851733691538
461,0.84356928026026719
462,0.94696129431814085
463,0.86092348629585908
464,0.96383244381461347
465,0.94085186661286252
466,0.89710696580468222
467,0.91600424415413596
468,0.93482076490380571
469,1.0986635514178629
470,0.68261805641486409
471,1.2797716119107727
472,1.1328760117054595
473,0.98660153454541186
474,0.77941174322781438
475,0.88010914961048824
476,0.81698621470584701
477,0.91718263726411126
478,0.99662063137024977
479,1.0757269428287635
480,0.97221359549995794
481,1.2531651334926693
482,1.14971317310161
483,1.1674614604347321
484,0.92400465688012531
485,0.90205385149480634
486,0.88019337864193723
487,0.77856940912727638
488,0.85666361898561868
489,0.91455675650302792
490,0.8730081265713908
491,0.95043284285128271
492,0.94850106878044677
493,1.0846196298681072
494,1.0627436064169581
495,0.84454918396966043
496,1.0192561888306011
497,1.1150135803520644
498,0.95659570641562127
499,0.97416191933863521
500,0.6611052449399714
501,0.9314621274251094
502,0.77467218764936888
503,0.69581887550692815
504,0.88733780541662828
505,0.80857368338610363
506,1.0375402007311804
507,1.0354937703549848
508,1.0334553967912939
509,1.2224296682121279
510,1.1056546772352463
511,1.1034909694520071
512,0.77853041827145069
513,0.75806128304090288
514,0.96464773094353803
515,0.96277462855335641
516,1.0927982274999527
517,1.1282943081237423
518,0.90089290702698805
519,1.1614112316184469
520,0.95351718020188183
521,0.98900807219765395
522,1.1919860174712128
523,0.855101823957898
524,0.96479211767171399
525,1.0555461893999543
526,0.77629222454369265
527,0.83016341171723164
528,1.1600275855397225
529,0.91891644187141582
530,0.73374610981128901
531,0.87883714847453825
532,0.82236112401312232
533,1.0397030946247205
534,0.98313734376400241
535,1.0903330042990182
536,0.7436708473040723
537,1.2311084635753657
538,0.99389865710962243
539,1.0822414792207324
540,1.1522531502221724
541,0.95244585141400685
542,1.0224386520940517
543,1.0742691662982961
